section,item,catalog_id,qty,unit_usd,total_usd,low_usd,high_usd,tier,price_verified,note
"Light and greenery","TERTIAL work lamp, clamp — dark grey","lamp-tertial-work",1,20,20,,,value,yes,""
"Light and greenery","ZAMIOCULCAS (ZZ plant), 6"" pot","plant-zz-18",1,13,13,,,value,yes,""
"Light and greenery — SUBTOTAL",,,,,302,,,,,
"FURNITURE TOTAL",,,,,12207,,,,,
"ALLOWANCE","Queen mattress (10-11"")","mattress",1,,,499,1999,,band,"Every bed frame in the catalog is a FRAME — its height includes a 10"" mattress so the drawings show a made bed, but its price is the frame alone. Verified end points: Zinus Original Green Tea 10"" at $499 (sale, from $718, read off the Zinus PDP) and Avocado Green Hybrid 11"" at $1,999. Stay at 10-11"": every extra inch of mattress raises the sleeping height and pushes the bed's silhouette up toward the glazing, and Avocado's 13"" Pillow Top would put a Thuma's sleeping surface at 26""."
"ALLOWANCE","Bedding — linen sheet set, duvet cover set, insert, two pillows","bedding",1,,,370,810,,band,"Not in any furniture catalog and not optional, and in a studio it is a VISIBLE design element rather than a utility: the bed is in every sightline in the apartment. PRICED AGAINST A SPECIFIED SET rather than a class average, read off quince.com on 31 Jul 2026 — European Linen sheet set, queen, in Oat at $144 promotional / $259 list, plus the European Linen duvet cover set (cover + 2 standard shams) in Sand at $154 / $344. That is $298-$603 for the two, and the band adds a duvet insert and two pillows at $70-$210 on top. The LOW end depends on a promotion that was live the day it was read; budget the high end. A folded bed cover, where a layout specifies one, is a catalogue line and is NOT in this allowance."
"ALLOWANCE","Power + HDMI at the projector position, and cable concealment","av-power",1,,,150,500,,band,"A projector needs mains where it stands, and in this unit that is a real question rather than a detail: there is no power in the concrete soffit, so anything overhead is out, and a screen or plinth against the bathroom partition needs an outlet behind it or a cord run somewhere visible. The low end is a floor outlet already in the right place plus a cable channel; the high end is an electrician adding a receptacle. Motorised screens and floor-risers all plug in."
"ALLOWANCE","Laser measure — before ordering any screen","laser-measure",1,,,30,60,,band,"This is a small line with a large consequence. The plan is traced from a listing graphic at ±0.3 ft, i.e. ±3.6"" — which is LARGER than the reveal a 120"" frame would leave on the 9'-6"" bathroom partition and comparable to the reveal a 110"" leaves. Do not order a screen over 110"" on the strength of a traced plan. Measure the wall, and while the meter is out, confirm the ceiling height and the glazing head — the 9'-0"" ceiling in this model is ASSUMED, and every screen-size and cassette limit falls out of it."
"ALLOWANCE","Blackout shade installation and the eight side-channel runs","shade-install",1,,,200,600,,band,"Four inside-mount shades means four headrails and EIGHT vertical light gaps, and the manufacturer's own copy admits a ~1/8"" factory deduction per side. On a west wall between 3pm and sunset that puts visible bars of daylight across a projected image. The side channels are catalogued per bay, but fitting them is eight adhesive runs plus four bracket sets into the jambs — and note that at this unit's 8'-8"" (104"") head, a cellular shade tall enough to reach can only be ordered on a CONTINUOUS CORD LOOP: not cordless, not no-drill."
"ALLOWANCE","Delivery, lift booking and assembly","delivery",1,,,977,1465,,band,"8-12% of the furniture total. It is a real number here rather than a rounding error because the entry nook has an ANGLED front door: the pieces that do not knock down — a 56"" one-piece sofa frame, a 70"" one-piece modular unit — ship freight and have to make that turn. Measure the door swing, the corridor turn and the lift car before committing to anything that does not flat-pack."
"ALLOWANCES TOTAL",,,,,,2226,5434,,,
"ALL-IN",,,,,,14433,17641,,,"layout e-clear-shot"
